Category,Name,Url,WordCount,ScriptCount,StylesheetCount,LinkCount,FormCount,ImageCount,VideoCount,IframeCount,MetaDescription,Title,CookieStatus
DeptStores,Sears,https://www.sears.com/,20,14,4,4,0,4,0,0,"Shop Sears for appliances, tools, clothing, mattresses & more.  Great name brands like Kenmore, Craftsman Tools, Serta, Diehard and many others.","Shop: Appliances, Tools, Clothing, Mattresses & More",No
Distilleries,Buffalo Trace Distillery,https://www.buffalotracedistillery.com/,802,31,5,149,1,35,1,0,"For over 200 years, Buffalo Trace Distillery has been defined by a dedication to one craft: making fine bourbon whiskey.",Buffalo Trace Distillery,Yes
Distilleries,Four Roses Distillery,https://fourrosesbourbon.com/,398,16,2,51,0,28,0,0,Sample Four Roses Bourbon today and taste the sophisticated beauty of a simple barrel bourbon that has been crafted to perfection since 1888.,Four Roses Bourbon: Expertly Crafted Since 1888 | Four Roses,No
Distilleries,George Dickel Distillery,https://www.georgedickel.com/,379,13,8,37,2,30,1,0,"George Dickel Whisky™ is one of the oldest Tennessee distilleries. It's Our Craft, It's Our Pride, It's George Dickel.",George Dickel Tennessee Whisky,No
Distilleries,Jack Daniel's Distillery,https://www.jackdaniels.com/,594,23,38,79,2,7,0,1,"Welcome to Jack Daniel's Tennessee Whiskey. Discover our story of independence, our family of whiskeys, recipes, and our distillery in Lynchburg, Tennessee.",Jack Daniel's Tennessee Whiskey | Jack Daniel's,No
Distilleries,Jim Beam Distillery,https://www.jimbeam.com/,915,10,3,96,1,21,1,1,Discover Jim Beam® Bourbon. Made for over 200 years using a secret family recipe. The world’s #1 Kentucky bourbon and an American tradition.,Finest American Bourbon Whiskey & Craft Spirits | Jim Beam®,No
Distilleries,Maker's Mark Distillery,https://www.makersmark.com/,462,15,4,89,0,22,2,1,"Welcome to the home of Maker's Mark®. If we could make our Kentucky Straight Bourbon Whisky any faster, we wouldn't. One bottle at a time, every time.",Handmade Kentucky Bourbon Whisky | Maker's Mark®,No
Distilleries,Wild Turkey Distillery,https://wildturkeybourbon.com/,1231,25,8,129,0,288,1,1,A true Kentucky Straight Bourbon Whiskey by our legendary master distillers using only the finest ingredients. Discover Wild Turkey now!,Wild Turkey: Kentucky straight bourbon whiskey | Wild Turkey Bourbon,Yes
Distilleries,Woodford Reserve Distillery,https://www.woodfordreserve.com/,966,24,9,87,1,38,0,2,"Woodford Reserve isn’t manufactured, it’s hand crafted in small batches. This artisanal process allows us to craft it at all five sources of bourbon flavor giving it its distinct taste and crisp, clean finish.",Homepage - Woodford Reserve,Yes
Electronics,LG,https://www.lg.com/,2711,21,0,320,0,93,0,0,Life's Good with LG. Shop Online at LG.com US to Find the Latest Home Entertainment and Appliances. Add Smart Technology and Modern Design to Your Home Today.,LG Electronics & Home Appliances | Shop Now | LG USA,No
Electronics,Panasonic,https://www.panasonic.com/,620,24,7,92,0,20,0,1,"At Panasonic, we’re working to change the way we power our homes, our travel, our businesses - and our lives.","Create Today, Enrich Tomorrow | Panasonic North America - United States",No
Electronics,Philips,https://www.philips.com/,1511,22,1,302,2,32,0,0,"Learn more about Philips and how we help improve people’s lives through meaningful innovation in the areas of Healthcare, Consumer Lifestyle and Lighting.",Philips - United States | Philips,No
Electronics,Samsung,https://www.samsung.com/,4465,32,16,429,8,205,0,1,Discover the latest in electronic & smart appliance technology with Samsung. Find the next big thing from smartphones & tablets to laptops & tvs & more.,Samsung US | Mobile | TV | Home Electronics | Home Appliances | Samsung US,No
Electronics,Sharp,https://www.sharpusa.com/,197,41,9,62,1,8,0,1,"Sharp USA delivers reliable technology for businesses and homes. Explore solutions like copiers, displays, laptops, appliances, TVs, and more.",Elevating Office & Home Technology Solutions | Sharp Electronics USA,No
Electronics,Toshiba,https://www.toshiba.com/,618,13,10,138,0,14,0,0,"Toshiba provides innovative and cost efficient b2b solutions for multiple industries servicing the industrial, power and energy, and retail verticals.",Toshiba | Business to Business Integrated Solutions,No
FastFood,Burger King,https://www.bk.com/,15,5,0,0,1,0,0,0,,Burger King,Yes
FastFood,Chick-fil-A,https://www.chick-fil-a.com/,514,13,1,59,9,31,0,1,"Home of the Original Chicken Sandwich<sup>®</sup>. See our menu and order the Chick-fil-A<sup>®</sup Chicken Sandwich, Waffle Potato Fries™, and more for pickup or delivery.","Chicken Sandwiches, Waffle Potato Fries, Salads & More | Chick-fil-A",Yes
FastFood,Jack in the Box,https://www.jackinthebox.com/,4,9,2,0,0,0,0,0,,Jack in the Box,Yes
FastFood,McDonald's,https://www.mcdonalds.com/,1074,15,4,143,1,40,0,0,McDonalds.com is your hub for everything McDonald's. Find out more about our menu items and promotions today!,"McDonald's: Burgers, Fries & More. Quality Ingredients.",No
FastFood,Popeyes,https://www.popeyes.com/,14,2,0,0,1,0,0,0,"Mouth-watering crunch and juicy fried chicken bursting with Louisiana flavor. Explore our menu, offers, and earn rewards on delivery or digital orders. Download the app and order your favorites today!",Popeyes,No
FastFood,Sonic,https://www.sonicdrivein.com/,202,26,7,37,0,12,0,0,America's Drive In,Sonic | Home,No
FastFood,Taco Bell,https://www.tacobell.com/,1068,31,15,92,0,18,1,0,Get your Taco Bell cravings today by ordering ahead on the mobile app for pick up or delivery.,Taco Bell® | Live Más,No
FastFood,Wendy's,https://www.wendys.com/,637,69,72,93,0,1,0,1,"Order drive-thru or delivery for food that's served fresh-made - like our homepage ;) See Wendy's latest deals, featured menu items & more. We Got You®","Wendy's® | Home of Fresh, Never Frozen Beef Since 1969",Yes
FederalDepartments,Department of Agriculture,https://www.usda.gov/,2022,5,2,424,3,26,1,0,,Home,No
FederalDepartments,Department of Commerce,https://www.commerce.gov/,741,21,27,206,3,11,0,0,Commerce.gov is the official website of the United States Department of Commerce and Secretary of Commerce.,U.S. Department of Commerce,No
FederalDepartments,Department of Defense,https://www.defense.gov/,979,71,23,223,1,19,0,0,,U.S. Department of Defense,No
FederalDepartments,Department of Homeland Security,https://www.dhs.gov/,695,77,47,143,1,25,0,2,"U.S. Department of Homeland Security: With honor and integrity, we will safeguard the American people, our homeland, and our values.",Home | Homeland Security,Yes
FederalDepartments,Department of Housing and Urban Development,https://www.hud.gov/,482,32,4,84,1,32,0,0,,HUD.gov / U.S. Department of Housing and Urban Development (HUD) |,No
FederalDepartments,Department of Justice,https://www.justice.gov/,1120,13,4,96,2,49,0,6,Official website of the U.S. Department of Justice (DOJ). DOJ’s mission is to enforce the law and defend the interests of the United States according to the law; to ensure public safety against threats foreign and domestic; to provide federal leadership in preventing and controlling crime; to seek just punishment for those guilty of unlawful behavior; and to ensure fair and impartial administration of justice for all Americans.,Department of Justice |  Homepage | United States Department of Justice,Yes
FederalDepartments,Department of Labor,https://www.dol.gov/,853,20,2,174,2,12,0,1,,Home | U.S. Department of Labor,No
FederalDepartments,Department of the Interior,https://www.doi.gov/,912,11,4,104,2,32,1,0,"The U.S. Department of the Interior protects America's natural resources and heritage, honors our cultures and tribal communities, and supplies the energy to power our future.",U.S. Department of the Interior,Yes
GardenSuppliers,Ace Hardware,https://www.acehardware.com/,2255,60,9,358,6,187,0,1,"Shop Ace Hardware for grills, hardware, home improvement, lawn and garden, and tools. Buy online & pickup today!",Ace Hardware | The Helpful Place -  Ace Hardware,Yes
GardenSuppliers,Ferry-Morse,https://www.ferry-morse.com/,931,110,24,299,3,40,0,0,"Free shipping any order of $35+! Get fresh organic and heirloom vegetable, herb and flower seeds. Your one-stop source for non-GMO seeds. Organic vegetable seeds? We have them. Heirloom seeds? Check. Ferry-Morse has been trusted by gardeners since 1856. Live the Garden Life with garden to table recipes and home decor!","Homepage
 – Ferry-Morse",No
GardenSuppliers,Gardeners Supply Company,https://www.gardeners.com/,953,47,7,291,1,5,0,2,"Gardener's Supply is America's number one resource for gardening. Raised Beds, Pots and Planters, Supports, Soils and More. Employee-Owned in Vermont.","Garden Tools, Planters, Raised Garden Beds +More | Gardener's Supply",No
GardenSuppliers,Johnny's Selected Seeds,https://www.johnnyseeds.com/,2445,27,6,1003,4,46,0,1,"Johnny's helps growers and gardeners succeed with superior seeds, tools and service. Quality vegetable, herb and flower seeds including certified organic seed.",Johnny’s Selected Seeds | Supporting Farms & Gardens Since 1973,No
GardenSuppliers,Lowe's,https://www.lowes.com/,268,56,1,75,1,121,0,0,"Shop tools, appliances, building supplies, carpet, bathroom, lighting and more. Pros can take advantage of Pro offers, credit and business resources.",Loweâs Home Improvement,No
GardenSuppliers,Menards,https://www.menards.com/,129,14,2,13,0,0,0,1,"Save BIG Money on your home improvement needs at over 300 stores in categories like tools, lumber, appliances, pet supplies, lawn and gardening and much more.",Home at Menards®,No
GardenSuppliers,Park Seed,https://www.parkseed.com/,2813,189,1,1023,54,158,0,1,"Shop seeds for sale online and start growing your garden with Park Seed! Discover America's finest plant seeds, gifts, supplies and more online today.",Seeds for Sale - Buy Garden Seeds | Park Seed,No
GardenSuppliers,True Value,https://www.truevalue.com/,1782,56,46,612,4,21,0,1,,Home - True Value Hardware,Yes
Grocery,Albertsons,https://www.albertsons.com/,2419,35,2,506,2,47,0,0,Thinking of grocery delivery? Shop at Albertsons online store and get grocery delivered to your doorstep. Use Albertsons for U rewards & coupons to save money on grocery.,Grocery Delivery Near You - Order Groceries Online | Albertsons,No
Grocery,Aldi,https://www.aldi.us/,740,8,2,251,1,21,0,0,"Shop low prices on award-winning products at ALDI. View our weekly specials, find recipes and shop quality brands in store or online. Learn more.",ALDI Grocery Stores - Quality Food. Everyday Low Prices.,No
Grocery,Costco,https://www.costco.com/,641,574,3,156,5,8,0,0,"Shop Costco.com for electronics, computers, furniture, outdoor living, appliances, jewelry and more. Enjoy low warehouse prices on name-brands products delivered to your door",Welcome to Costco Wholesale,No
Grocery,Hy-Vee,https://www.hy-vee.com/,31,12,1,8,0,0,0,0,"Hy-Vee grocery store offers everything you need in one place! Order groceries online and enjoy grocery delivery, pickup, prescription refills & more! Shop now!",Grocery Store with Aisles Online Ordering  |  Pick-up and Delivery  |  Hy-Vee,No
Grocery,Kroger,https://www.kroger.com/,653,43,19,142,1,36,0,0,"Shop fresh groceries at low prices at a Kroger near you. Fill prescriptions, order online and save with digital coupons on grocery pick-up & delivery.",Kroger : Groceries & Pharmacy | Order Online or Shop In-Store,Yes
Grocery,Publix,https://www.publix.com/,0,2,0,0,0,0,0,1,,,No
Grocery,Whole Foods Market,https://www.wholefoodsmarket.com/,759,19,1,90,2,53,0,1,"Get hungry for local, organic, plant-based & more: see today's sales, find a grocery store near you, browse products by special diet, get delivery and pickup.",Whole Foods Market | Weekly Sales | Shop In-Store & Online,No
Guitars,Dean Guitars,https://www.deanguitars.com/,305,19,4,79,1,7,0,3,"DEAN GUITARS is committed to producing the finest guitars in the world. Dean electric guitars, acoustic guitars, basses and other musical instruments are built following the highest standards in the industry.",Dean Guitars,No
Guitars,Epiphone,https://www.epiphone.com/,689,14,7,169,0,62,0,1,"Discover Epiphone's variety of acoustic guitars, electric guitars, basses, and merchandise. Crafted for every player and For Every Stage since 1873.",Epiphone | For Every Stage,Yes
Guitars,Fender,https://www.fender.com/,1581,23,9,481,2,39,0,0,"Since 1946, Fender's iconic Stratocasters, Telecasters and Precision & Jazz bass guitars have transformed nearly every music genre.","Fender Guitars | Electric, Acoustic & Bass Guitars, Amps, Pro Audio",No
Guitars,Gibson,https://www.gibson.com/,1892,13,5,499,0,77,0,1,,Welcome to Gibson,Yes
Guitars,Rickenbacker,https://www.rickenbacker.com/,943,25,12,129,0,7,0,0,,Home - Rickenbacker,Yes
HistoryMuseums,California State Capitol Museum,https://capitolmuseum.ca.gov/,186,96,37,37,2,8,0,0,,Home - California State Capitol Museum,No
HistoryMuseums,Detroit Historical Museum,https://detroithistorical.org/,807,13,5,223,1,6,0,1,,Detroit Historical Society | Where the past is present,No
HistoryMuseums,HistoryMiami Museum,https://www.historymiami.org/,588,54,13,144,1,12,0,2,"The HistoryMiami Museum connects people by telling the stories of Miami’s communities, individuals, places, and events. The past helps to shape Miami's future.",HistoryMiami Museum: 80 Years of History in the Making,No
HistoryMuseums,Missouri History Museum,https://mohistory.org/,27,14,2,1,0,3,0,1,MHS serves as the confluence of historical perspectives and contemporary issues to inspire and engage audiences in the St. Louis region and beyond.,Missouri Historical Society | Missouri Historical Society,No
HistoryMuseums,National WWII Museum,https://www.nationalww2museum.org/,2539,18,25,285,1,130,0,1,"The National WWII Museum in New Orleans tells the story of the American Experience in the war that changed the world - why it was fought, how it was won, and what it means today.",Home | The National WWII Museum | New Orleans,Yes
HistoryMuseums,New-York Historical Society,https://www.nyhistory.org/,1318,29,6,135,3,108,0,1,"Experience 400 years of history through groundbreaking exhibitions, outstanding collections, immersive films, and thought-provoking conversations among renowned historians and public figures at the New-York Historical Society, New York’s first museum.",The New York Historical,No
HistoryMuseums,Smithsonian National Museum of American History,https://americanhistory.si.edu/,613,8,4,64,0,22,0,1,The Smithsonian’s National Museum of American History preserves our nation’s collections and tells a full and complex history of the United States.,Home | National Museum of American History,No
HistoryMuseums,The Henry Ford Museum,https://www.thehenryford.org/,1554,22,6,406,1,22,0,5,Visit The Henry Ford to explore our collection of authentic artifacts and stories of America's ingenuity and innovation. Buy tickets online today!,"The Henry Ford – Museum, Greenfield Village & Rouge Factory",No
Importers,Alibaba,https://www.alibaba.com/,121,34,0,0,0,6,0,0,"Find quality Manufacturers, Suppliers, Exporters, Importers, Buyers, Wholesalers, Products and Trade Leads from our award-winning International Trade Site. Import & Export on alibaba.com","Alibaba.com: Manufacturers, Suppliers, Exporters & Importers from the world's largest online B2B marketplace",No
Importers,ExportHub,https://www.exporthub.com/,6700,32,10,999,15,166,0,1,"ExportHub.com is a secure and reliable foreign B2B marketplace. Premium trading features, product listings, and buy offers for global manufacturers & suppliers.",ExportHub: Online B2B Marketplace - Connecting Buyers & Suppliers,No
Importers,Global Sources,https://www.globalsources.com/,6,2,0,0,0,0,0,1,,,No
